Nome do Ativo;Data;Dividend Yield;Taxa Indicativa
NTN-B 760199 20350515;16/08/2019;;0,0345
NTN-B 760199 20350515;19/08/2019;;0,0346
NTN-B 760199 20350515;20/08/2019;;0,0347
NTN-B 760199 20350515;21/08/2019;;0,0345
NTN-B 760199 20350515;22/08/2019;;0,0346
NTN-B 760199 20350515;23/08/2019;;0,0348
NTN-B 760199 20350515;26/08/2019;;0,0352
NTN-B 760199 20350515;27/08/2019;;0,0357
NTN-B 760199 20350515;28/08/2019;;0,0364
NTN-B 760199 20350515;29/08/2019;;0,0366
NTN-B 760199 20350515;30/08/2019;;0,036
NTN-B 760199 20350515;02/09/2019;;0,0363
NTN-B 760199 20350515;03/09/2019;;0,036
NTN-B 760199 20350515;04/09/2019;;0,0355
NTN-B 760199 20350515;05/09/2019;;0,0356
NTN-B 760199 20350515;06/09/2019;;0,0355
NTN-B 760199 20350515;09/09/2019;;0,0356
NTN-B 760199 20350515;10/09/2019;;0,0359
NTN-B 760199 20350515;11/09/2019;;0,0356
NTN-B 760199 20350515;12/09/2019;;0,0355
NTN-B 760199 20350515;13/09/2019;;0,0358
NTN-B 760199 20350515;16/09/2019;;0,0354
NTN-B 760199 20350515;17/09/2019;;0,0348
NTN-B 760199 20350515;18/09/2019;;0,0346
NTN-B 760199 20350515;19/09/2019;;0,0341
NTN-B 760199 20350515;20/09/2019;;0,0337
NTN-B 760199 20350515;23/09/2019;;0,0338
NTN-B 760199 20350515;24/09/2019;;0,0341
NTN-B 760199 20350515;25/09/2019;;0,0335
NTN-B 760199 20350515;26/09/2019;;0,0332
NTN-B 760199 20350515;27/09/2019;;0,0331
NTN-B 760199 20350515;30/09/2019;;0,0331
NTN-B 760199 20350515;01/10/2019;;0,0331
NTN-B 760199 20350515;02/10/2019;;0,033
NTN-B 760199 20350515;03/10/2019;;0,0329
NTN-B 760199 20350515;04/10/2019;;0,0329
NTN-B 760199 20350515;07/10/2019;;0,0331
NTN-B 760199 20350515;08/10/2019;;0,0334
NTN-B 760199 20350515;09/10/2019;;0,033
NTN-B 760199 20350515;10/10/2019;;0,0328
NTN-B 760199 20350515;11/10/2019;;0,032
NTN-B 760199 20350515;14/10/2019;;0,0317
NTN-B 760199 20350515;15/10/2019;;0,0319
NTN-B 760199 20350515;16/10/2019;;0,0313
NTN-B 760199 20350515;17/10/2019;;0,0307
NTN-B 760199 20350515;18/10/2019;;0,0305
NTN-B 760199 20350515;21/10/2019;;0,0305
NTN-B 760199 20350515;22/10/2019;;0,0308
NTN-B 760199 20350515;23/10/2019;;0,0304
NTN-B 760199 20350515;24/10/2019;;0,0305
NTN-B 760199 20350515;25/10/2019;;0,03
NTN-B 760199 20350515;28/10/2019;;0,0297
NTN-B 760199 20350515;29/10/2019;;0,0294
NTN-B 760199 20350515;30/10/2019;;0,029
NTN-B 760199 20350515;31/10/2019;;0,0287
NTN-B 760199 20350515;01/11/2019;;0,0283
NTN-B 760199 20350515;04/11/2019;;0,0283
NTN-B 760199 20350515;05/11/2019;;0,0284
NTN-B 760199 20350515;06/11/2019;;0,0291
NTN-B 760199 20350515;07/11/2019;;0,0295
NTN-B 760199 20350515;08/11/2019;;0,0299
NTN-B 760199 20350515;11/11/2019;;0,0301
NTN-B 760199 20350515;12/11/2019;;0,0306
NTN-B 760199 20350515;13/11/2019;;0,0308
NTN-B 760199 20350515;14/11/2019;;0,0308
NTN-B 760199 20350515;18/11/2019;;0,0309
NTN-B 760199 20350515;19/11/2019;;0,031
NTN-B 760199 20350515;20/11/2019;;0,031
NTN-B 760199 20350515;21/11/2019;;0,0317
NTN-B 760199 20350515;22/11/2019;;0,0313
NTN-B 760199 20350515;25/11/2019;;0,0316
NTN-B 760199 20350515;26/11/2019;;0,0322
NTN-B 760199 20350515;27/11/2019;;0,0327
NTN-B 760199 20350515;28/11/2019;;0,0325
NTN-B 760199 20350515;29/11/2019;;0,0325
NTN-B 760199 20350515;02/12/2019;;0,0327
NTN-B 760199 20350515;03/12/2019;;0,0325
NTN-B 760199 20350515;04/12/2019;;0,0323
NTN-B 760199 20350515;05/12/2019;;0,0324
NTN-B 760199 20350515;06/12/2019;;0,0321
NTN-B 760199 20350515;09/12/2019;;0,0319
NTN-B 760199 20350515;10/12/2019;;0,0316
NTN-B 760199 20350515;11/12/2019;;0,0313
NTN-B 760199 20350515;12/12/2019;;0,031
NTN-B 760199 20350515;13/12/2019;;0,0311
NTN-B 760199 20350515;16/12/2019;;0,0315
NTN-B 760199 20350515;17/12/2019;;0,0325
NTN-B 760199 20350515;18/12/2019;;0,0328
NTN-B 760199 20350515;19/12/2019;;0,0338
NTN-B 760199 20350515;20/12/2019;;0,0337
NTN-B 760199 20350515;23/12/2019;;0,0335
NTN-B 760199 20350515;24/12/2019;;0,0335
NTN-B 760199 20350515;26/12/2019;;0,033
NTN-B 760199 20350515;27/12/2019;;0,0329
NTN-B 760199 20350515;30/12/2019;;0,0324
NTN-B 760199 20350515;31/12/2019;;0,0324
NTN-B 760199 20350515;02/01/2020;;0,0324
NTN-B 760199 20350515;03/01/2020;;0,0326
NTN-B 760199 20350515;06/01/2020;;0,0331
NTN-B 760199 20350515;07/01/2020;;0,0331
NTN-B 760199 20350515;08/01/2020;;0,0329
